월,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년
1,4.1,3.6,2.7,2.2,2.2,2.6,2.7,2.5,1.9,2.3,3.7,2.5,2.0,2.2
2,4.1,4.1,2.7,2.3,2.6,2.8,3.0,2.4,2.0,2.6,3.2,2.8,2.5,2.6
3,3.7,3.8,2.5,2.6,2.5,2.7,2.4,2.3,2.0,2.4,2.6,2.8,2.5,2.2
4,3.5,2.7,2.2,2.2,2.4,2.6,2.4,2.2,1.9,2.6,2.3,2.1,2.3,1.9
5,2.7,2.6,2.1,2.1,2.2,2.4,2.2,2.3,1.9,2.8,2.0,2.1,1.8,1.9
6,2.9,2.8,1.6,2.2,2.1,2.5,1.9,2.2,1.8,2.8,2.0,1.9,2.0,1.7
7,3.2,2.7,1.7,2.2,2.3,2.4,1.8,2.1,2.0,2.7,2.4,2.0,2.1,1.9
8,3.2,2.5,1.9,2.2,2.4,2.6,2.0,1.9,2.0,2.5,2.1,2.0,2.3,1.9
9,3.4,2.1,1.4,2.2,2.1,2.8,1.8,1.7,2.1,2.3,2.3,2.2,2.2,1.7
10,2.8,2.5,1.3,2.0,2.1,2.4,1.9,2.0,1.9,2.1,2.3,1.8,1.9,1.5
11,2.6,2.2,1.5,1.8,2.2,2.1,1.9,1.7,2.0,2.1,2.0,1.7,1.8,1.5
12,2.9,2.4,1.9,2.0,2.4,2.3,2.3,1.7,2.3,2.4,2.4,1.8,1.8,1.5
평균,3.3 ,2.8 ,2.0 ,2.2 ,2.3 ,2.5 ,2.2 ,2.1 ,2.0 ,2.5 ,2.4 ,2.1 ,2.1 ,1.9 
