정류소명,승차인원,하차인원
망원유수지.망원한강공원,14914,557
태양식당,13723,111
신태양목욕탕.망원교회,10377,116
성원아파트,16320,211
동교초등학교,11993,593
하나은행망원동지점,13009,1268
망원시장,13638,3120
망원우체국,9014,12428
망원전철역,19176,25257
성산초등학교,4941,2020
고니빌딩,2604,2460
서교동주민센터,2818,4309
우리은행서교동지점,2580,4490
서교동예식장타운,4600,12701
홍대입구역,9754,25543
동교동삼거리,3654,8545
신촌농협.하나로마트,4563,12274
신촌전철역.그랜드마트,45247,25169
기업은행.신촌연세병원,11810,5347
금호태영아파트,2406,4388
산울림포스트극장,3631,6408
홍대정문,4893,9329
서교푸르지오아파트,6502,3682
홍대입구역,12042,2846
동교로사거리,11333,2818
신한은행서교동금융센터점,4737,5117
대우미래사랑아파트,2948,3284
새싹유치원,1407,1474
서교동주민센터,2197,1672
새화빌딩,642,2888
청해수산,2340,8147
망원전철역,31695,15198
