순위,선수명,포지션,팀,경기,타수,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,삼진,병살,타율,장타율,출루율,연봉
1,김태균,1루수,한화,101,345,41,110,24,0,10,52,0,73,67,14,0.319,0.475,0.444,15
2,박병호,1루수,넥센,128,450,91,143,17,0,37,117,10,92,96,7,0.318,0.602,0.437,5
3,최정,3루수,SK,120,434,75,137,18,0,28,83,24,64,109,10,0.316,0.551,0.429,7
4,박석민,3루수,삼성,117,396,61,126,24,0,18,76,4,54,73,13,0.318,0.515,0.425,3.7
5,손아섭,우익수,롯데,128,498,83,172,23,4,11,69,36,64,88,9,0.345,0.474,0.421,4
6,정성훈,3루수,LG,121,407,64,127,22,1,9,62,13,59,58,12,0.312,0.437,0.405,5
7,배영섭,중견수,삼성,113,393,66,116,16,4,2,38,23,52,62,9,0.295,0.372,0.402,0.85
8,나지완,좌익수,KIA,125,435,57,125,18,0,21,96,7,62,111,12,0.287,0.474,0.394,2
9,박정권,1루수,SK,110,363,56,106,20,1,18,70,4,64,79,5,0.292,0.501,0.394,2.35
10,박용택,중견수,LG,125,476,79,156,22,4,7,67,13,52,71,5,0.328,0.435,0.393,3.5
